,,,freq,level
,,,5080.09801,-64.5897
,,,5104.75868,-66.9897
,,,5129.41935,-66.9897
,,,5154.08002,-64.5897
,,,5178.74069,-64.5897
,,,5203.40136,-66.9897
,,,5228.06203,-66.9897
,,,5252.7227,-66.9897
,,,5277.38337,-66.9897
,,,5302.04404,-66.9897
,,,5326.70471,-64.5897
,,,5351.36538,-64.5897
,,,5376.02605,-66.9897
,,,5400.68672,-66.9897
,,,5425.34739,-66.9897
,,,5450.00806,-66.9897
,,,5474.66873,-66.9897
,,,5499.3294,-66.9897
,,,5523.99007,-66.9897
,,,5548.65074,-66.9897
,,,5573.31141,-64.5897
,,,5597.97208,-64.5897
,,,5622.63275,-64.5897
,,,5647.29342,-64.5897
,,,5671.95409,-64.5897
,,,5696.61476,-64.5897
,,,5721.27543,-58.5897
,,,5745.9361,-60.5897
,,,5770.59677,-60.5897
,,,5795.25744,-64.5897
,,,5819.91811,-64.5897
,,,5844.57878,-66.9897
,,,5869.23945,-66.9897
,,,5893.90012,-64.5897
,,,5918.56079,-61.3897
,,,5943.22146,-66.9897
,,,5967.88213,-66.9897
,,,5992.5428,-66.9897
,,,6017.20347,-66.9897
,,,6041.86414,-61.3897
,,,6066.52481,-61.3897
,,,6091.18548,-57.7897
,,,6115.84615,-66.9897
,,,6140.50682,-66.9897
,,,6165.16749,-66.9897
,,,6189.82816,-64.5897
,,,6214.48883,-61.3897
,,,6239.1495,-66.9897
,,,6263.81017,-66.9897
,,,6288.47084,-66.9897
,,,6313.13151,-66.9897
,,,6337.79218,-60.5897
,,,6362.45285,-64.5897
,,,6387.11352,-66.9897
,,,6411.77419,-66.9897
,,,6436.43486,-66.9897
,,,6461.09553,-61.3897
,,,6485.7562,-61.3897
,,,6510.41687,-66.9897
,,,6535.07754,-66.9897
,,,6559.73821,-66.9897
,,,6584.39888,-66.9897
,,,6609.05955,-66.9897
,,,6633.72022,-66.9897
,,,6658.38089,-60.5897
,,,6683.04156,-60.5897
,,,6707.70223,-66.9897
,,,6732.3629,-66.9897
,,,6757.02357,-66.9897
,,,6781.68424,-66.9897
,,,6806.34491,-64.5897
,,,6831.00558,-66.9897
,,,6855.66625,-66.9897
,,,6880.32692,-66.9897
,,,6904.98759,-66.9897
,,,6929.64826,-64.5897
,,,6954.30893,-66.9897
,,,6978.9696,-64.5897
,,,7003.63027,-66.9897
,,,7028.29094,-64.5897
,,,7052.95161,-66.9897
