Record Length,2500,Points,-5.28000016E-3,0.0,,Record Length,2500,Points,-5.28000016E-3,-39.99999911E-3,
Sample Interval,3.99999999E-6,s,-5.27600013E-3,0.0,,Sample Interval,3.99999999E-6,s,-5.27600013E-3,0.0,
Trigger Point,1.3200001E3,Samples,-5.27200010E-3,0.0,,Trigger Point,1.3200001E3,Samples,-5.27200010E-3,39.99999911E-3,
,,,-5.26800007E-3,0.0,,,,,-5.26800007E-3,119.9999973E-3,
,,,-5.26400004E-3,0.0,,,,,-5.26400004E-3,79.999998212E-3,
,,,-5.26000001E-3,0.0,,,,,-5.26000001E-3,39.99999911E-3,
Source,CH1,,-5.25599997E-3,0.0,,Source,CH2,,-5.25599997E-3,-79.999998212E-3,
Vertical Units,Volts,,-5.25199994E-3,0.0,,Vertical Units,Volts,,-5.25199994E-3,-119.9999973E-3,
Vertical Scale,999.999977648E-3,,-5.24800038E-3,0.0,,Vertical Scale,999.999977648E-3,,-5.24800038E-3,-39.99999911E-3,
Vertical Offset,0,,-5.24400035E-3,0.0,,Vertical Offset,0,,-5.24400035E-3,39.99999911E-3,
Horizontal Units,s,,-5.24000032E-3,0.0,,Horizontal Units,s,,-5.24000032E-3,79.999998212E-3,
Horizontal Scale,1.000000E-3,,-5.23600029E-3,0.0,,Horizontal Scale,1.000000E-3,,-5.23600029E-3,79.999998212E-3,
Pt Fmt,Y,,-5.23200026E-3,0.0,,Pt Fmt,Y,,-5.23200026E-3,39.99999911E-3,
Yzero,-1.1200000,,-5.22800023E-3,0.0,,Yzero,0.0,,-5.22800023E-3,0.0,
Probe Atten,1.000000,,-5.22400020E-3,0.0,,Probe Atten,1.000000,,-5.22400020E-3,-39.99999911E-3,
,,,-5.22000017E-3,0.0,,,,,-5.22000017E-3,-79.999998212E-3,
Note,TDS 1002B - 12:45:20 PM   2/19/2026,,-5.21600014E-3,0.0,,Note,TDS 1002B - 12:45:20 PM   2/19/2026,,-5.21600014E-3,-39.99999911E-3,
,,,-5.21200011E-3,0.0,,,,,-5.21200011E-3,39.99999911E-3,
,,,-5.20800008E-3,0.0,,,,,-5.20800008E-3,119.9999973E-3,
,,,-5.20400004E-3,0.0,,,,,-5.20400004E-3,79.999998212E-3,
,,,-5.20000001E-3,0.0,,,,,-5.20000001E-3,39.99999911E-3,
,,,-5.19599998E-3,0.0,,,,,-5.19599998E-3,-39.99999911E-3,
,,,-5.19199995E-3,0.0,,,,,-5.19199995E-3,-79.999998212E-3,
,,,-5.18800039E-3,0.0,,,,,-5.18800039E-3,-39.99999911E-3,
,,,-5.18400036E-3,0.0,,,,,-5.18400036E-3,0.0,
,,,-5.18000033E-3,-39.99999911E-3,,,,,-5.18000033E-3,39.99999911E-3,
,,,-5.17600030E-3,0.0,,,,,-5.17600030E-3,79.999998212E-3,
,,,-5.17200027E-3,0.0,,,,,-5.17200027E-3,119.9999973E-3,
,,,-5.16800024E-3,0.0,,,,,-5.16800024E-3,39.99999911E-3,
,,,-5.16400021E-3,0.0,,,,,-5.16400021E-3,-79.999998212E-3,
,,,-5.16000018E-3,0.0,,,,,-5.16000018E-3,-119.9999973E-3,
,,,-5.15600014E-3,0.0,,,,,-5.15600014E-3,-39.99999911E-3,
,,,-5.15200011E-3,0.0,,,,,-5.15200011E-3,39.99999911E-3,
,,,-5.14800008E-3,0.0,,,,,-5.14800008E-3,39.99999911E-3,
,,,-5.14400005E-3,0.0,,,,,-5.14400005E-3,39.99999911E-3,
,,,-5.14000002E-3,0.0,,,,,-5.14000002E-3,39.99999911E-3,
,,,-5.13599999E-3,0.0,,,,,-5.13599999E-3,39.99999911E-3,
,,,-5.13199996E-3,0.0,,,,,-5.13199996E-3,0.0,
,,,-5.12799993E-3,0.0,,,,,-5.12799993E-3,-79.999998212E-3,
,,,-5.12400037E-3,0.0,,,,,-5.12400037E-3,-79.999998212E-3,
,,,-5.12000034E-3,0.0,,,,,-5.12000034E-3,39.99999911E-3,
,,,-5.11600031E-3,39.99999911E-3,,,,,-5.11600031E-3,119.9999973E-3,
,,,-5.11200028E-3,-39.99999911E-3,,,,,-5.11200028E-3,119.9999973E-3,
,,,-5.10800024E-3,0.0,,,,,-5.10800024E-3,39.99999911E-3,
,,,-5.10400021E-3,0.0,,,,,-5.10400021E-3,-39.99999911E-3,
,,,-5.10000018E-3,0.0,,,,,-5.10000018E-3,-39.99999911E-3,
,,,-5.09600015E-3,0.0,,,,,-5.09600015E-3,-39.99999911E-3,
,,,-5.09200012E-3,0.0,,,,,-5.09200012E-3,0.0,
,,,-5.08800009E-3,0.0,,,,,-5.08800009E-3,39.99999911E-3,
,,,-5.08400006E-3,0.0,,,,,-5.08400006E-3,79.999998212E-3,
,,,-5.08000003E-3,0.0,,,,,-5.08000003E-3,79.999998212E-3,
,,,-5.07600000E-3,0.0,,,,,-5.07600000E-3,39.99999911E-3,
,,,-5.07199997E-3,0.0,,,,,-5.07199997E-3,0.0,
,,,-5.06799994E-3,0.0,,,,,-5.06799994E-3,-79.999998212E-3,
,,,-5.06400038E-3,0.0,,,,,-5.06400038E-3,-79.999998212E-3,
,,,-5.06000035E-3,0.0,,,,,-5.06000035E-3,0.0,
,,,-5.05600031E-3,0.0,,,,,-5.05600031E-3,39.99999911E-3,
,,,-5.05200028E-3,0.0,,,,,-5.05200028E-3,79.999998212E-3,
,,,-5.04800025E-3,0.0,,,,,-5.04800025E-3,39.99999911E-3,
,,,-5.04400022E-3,0.0,,,,,-5.04400022E-3,39.99999911E-3,
,,,-5.04000019E-3,0.0,,,,,-5.04000019E-3,-39.99999911E-3,
,,,-5.03600016E-3,0.0,,,,,-5.03600016E-3,-79.999998212E-3,
,,,-5.03200013E-3,0.0,,,,,-5.03200013E-3,-79.999998212E-3,
,,,-5.02800010E-3,0.0,,,,,-5.02800010E-3,-39.99999911E-3,
,,,-5.02400007E-3,0.0,,,,,-5.02400007E-3,79.999998212E-3,
,,,-5.02000004E-3,0.0,,,,,-5.02000004E-3,119.9999973E-3,
,,,-5.01600001E-3,0.0,,,,,-5.01600001E-3,79.999998212E-3,
,,,-5.01199998E-3,0.0,,,,,-5.01199998E-3,0.0,
,,,-5.00799995E-3,0.0,,,,,-5.00799995E-3,-39.99999911E-3,
,,,-5.00400038E-3,0.0,,,,,-5.00400038E-3,-39.99999911E-3,
,,,-5.00000035E-3,0.0,,,,,-5.00000035E-3,-39.99999911E-3,
,,,-4.99600032E-3,39.99999911E-3,,,,,-4.99600032E-3,0.0,
,,,-4.99200029E-3,39.99999911E-3,,,,,-4.99200029E-3,39.99999911E-3,
,,,-4.98800026E-3,0.0,,,,,-4.98800026E-3,119.9999973E-3,
,,,-4.98400023E-3,0.0,,,,,-4.98400023E-3,79.999998212E-3,
,,,-4.98000020E-3,0.0,,,,,-4.98000020E-3,0.0,
,,,-4.97600017E-3,0.0,,,,,-4.97600017E-3,-79.999998212E-3,
,,,-4.97200014E-3,0.0,,,,,-4.97200014E-3,-119.9999973E-3,
,,,-4.96800011E-3,0.0,,,,,-4.96800011E-3,-39.99999911E-3,
,,,-4.96400008E-3,0.0,,,,,-4.96400008E-3,39.99999911E-3,
,,,-4.96000005E-3,0.0,,,,,-4.96000005E-3,79.999998212E-3,
,,,-4.95600002E-3,0.0,,,,,-4.95600002E-3,79.999998212E-3,
,,,-4.95199999E-3,0.0,,,,,-4.95199999E-3,79.999998212E-3,
,,,-4.94799996E-3,39.99999911E-3,,,,,-4.94799996E-3,0.0,
,,,-4.94399993E-3,0.0,,,,,-4.94399993E-3,-79.999998212E-3,
,,,-4.94000036E-3,0.0,,,,,-4.94000036E-3,-79.999998212E-3,
,,,-4.93600033E-3,0.0,,,,,-4.93600033E-3,-39.99999911E-3,
,,,-4.93200030E-3,0.0,,,,,-4.93200030E-3,39.99999911E-3,
,,,-4.92800027E-3,0.0,,,,,-4.92800027E-3,119.9999973E-3,
,,,-4.92400024E-3,0.0,,,,,-4.92400024E-3,119.9999973E-3,
,,,-4.92000021E-3,-39.99999911E-3,,,,,-4.92000021E-3,39.99999911E-3,
,,,-4.91600018E-3,0.0,,,,,-4.91600018E-3,-79.999998212E-3,
,,,-4.91200015E-3,0.0,,,,,-4.91200015E-3,-39.99999911E-3,
,,,-4.90800012E-3,0.0,,,,,-4.90800012E-3,-39.99999911E-3,
,,,-4.90400009E-3,0.0,,,,,-4.90400009E-3,-39.99999911E-3,
,,,-4.90000006E-3,0.0,,,,,-4.90000006E-3,39.99999911E-3,
,,,-4.89600003E-3,0.0,,,,,-4.89600003E-3,79.999998212E-3,
,,,-4.89200000E-3,0.0,,,,,-4.89200000E-3,119.9999973E-3,
,,,-4.88799997E-3,0.0,,,,,-4.88799997E-3,39.99999911E-3,
,,,-4.88399994E-3,0.0,,,,,-4.88399994E-3,-79.999998212E-3,
,,,-4.88000037E-3,0.0,,,,,-4.88000037E-3,-119.9999973E-3,
,,,-4.87600034E-3,0.0,,,,,-4.87600034E-3,-39.99999911E-3,
,,,-4.87200031E-3,0.0,,,,,-4.87200031E-3,39.99999911E-3,
,,,-4.86800028E-3,0.0,,,,,-4.86800028E-3,79.999998212E-3,
,,,-4.86400025E-3,0.0,,,,,-4.86400025E-3,39.99999911E-3,
,,,-4.86000022E-3,0.0,,,,,-4.86000022E-3,39.99999911E-3,
,,,-4.85600019E-3,0.0,,,,,-4.85600019E-3,39.99999911E-3,
,,,-4.85200016E-3,0.0,,,,,-4.85200016E-3,-39.99999911E-3,
,,,-4.84800013E-3,0.0,,,,,-4.84800013E-3,-79.999998212E-3,
,,,-4.84400010E-3,0.0,,,,,-4.84400010E-3,-79.999998212E-3,
,,,-4.84000007E-3,0.0,,,,,-4.84000007E-3,39.99999911E-3,
,,,-4.83600004E-3,0.0,,,,,-4.83600004E-3,119.9999973E-3,
,,,-4.83200001E-3,0.0,,,,,-4.83200001E-3,119.9999973E-3,
,,,-4.82799998E-3,0.0,,,,,-4.82799998E-3,39.99999911E-3,
,,,-4.82399995E-3,0.0,,,,,-4.82399995E-3,0.0,
,,,-4.82000038E-3,0.0,,,,,-4.82000038E-3,-39.99999911E-3,
